Ticker,Name,GICS Sector,GICS Subsector,Headquarters
NWBI,"Northwest Bancshares, Inc.",Financials,Regional Banks,"Warren, Pennsylvania"
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia"
NWN,NW Natural,Utilities,Gas Utilities,"Portland, Oregon"
NX,Quanex Building Products Corporation,Industrials,Building Products,"Houston, Texas"
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,Multi-Family Residential REITs,"Dallas, Texas"
NYMT,"New York Mortgage Trust, Inc.",Real Estate,Mortgage REITs,"New York City, New York"
ODP,The ODP Corporation,Consumer Discretionary,Specialty Stores,"Boca Raton, Florida"
OFG,OFG Bancorp,Financials,Regional Banks,"San Juan, Puerto Rico"
OGN,Organon & Co.,Health Care,Pharmaceuticals,"Jersey City, New Jersey"
OI,"O-I Glass, Inc.",Materials,Metal & Glass Containers,"Perrysburg, Ohio"
OII,"Oceaneering International, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas"
OIS,"Oil States International, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas"
OMCL,Omnicell,Health Care,Health Care Technology,"Fort Worth, Texas"
OMI,"Owens & Minor, Inc.",Health Care,Health Care Distributors,"Mechanicsville, Virginia"
OSIS,"OSI Systems, Inc.",Information Technology,Electronic Equipment & Instruments,"Hawthorne, California"
OSUR,"OraSure Technologies, Inc.",Health Care,Health Care Supplies,"Bethlehem, Pennsylvania"
OTTR,Otter Tail Corporation,Utilities,Electric Utilities,"Fergus Falls, Minnesota"
OUT,Outfront Media,Real Estate,Other Specialized REITs,"New York City, New York"
OXM,"Oxford Industries, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia"
PAHC,Phibro Animal Health,Health Care,Pharmaceuticals,"Teaneck, New Jersey"
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,"Houston, Texas"
PAYO,Payoneer Global Inc.,Financials,Transaction & Payment Processing Services,"New York City, New York"
PATK,"Patrick Industries, Inc.",Consumer Discretionary,Auto Parts & Equipment,"Elkhart, Indiana"
PBH,Prestige Consumer Healthcare,Health Care,Pharmaceuticals,"Tarrytown, New York"
PBI,"Pitney Bowes, Inc.",Industrials,Office Services & Supplies,"Stamford, Connecticut"
PCRX,"Pacira BioSciences, Inc.",Health Care,Pharmaceuticals,"Tampa, Florida"
PDCO,Patterson Companies,Health Care,Health Care Distributors,"Saint Paul, Minnesota"
PDFS,"PDF Solutions, Inc.",Information Technology,Semiconductor Equipment,"Santa Clara, California"
PEB,Pebblebrook Hotel Trust,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland"
PECO,Phillips Edison & Company,Real Estate,Retail REITs,"Cincinnati, Ohio"
PFBC,Preferred Bank,Financials,Regional Banks,"Los Angeles, California"
PFS,"Provident Financial Services, Inc.",Financials,Regional Banks,"Jersey City, New Jersey"
PGTI,"PGT Innovations, Inc.",Industrials,Building Products,"Venice, Florida"
PHIN,"PHINIA, Inc.",Consumer Discretionary,Automotive Retail,"Auburn Hills, Michigan"
PINC,"Premier, Inc.",Health Care,Health Care Services,"Charlotte, North Carolina"
PIPR,Piper Sandler Companies,Financials,Investment Banking & Brokerage,"Minneapolis, Minnesota"
PJT,"PJT Partners, Inc.",Financials,Investment Banking & Brokerage,"New York City, New York"
PLAB,"Photronics, Inc.",Information Technology,Semiconductor Equipment,"Brookfield, Connecticut"
PLAY,"Dave & Buster's Entertainment, Inc.",Consumer Discretionary,Restaurants,"Dallas, Texas"
PLMR,"Palomar Holdings, Inc.",Financials,Property & Casualty Insurance,"La Jolla, California"
PLUS,"ePlus, Inc.",Information Technology,Technology Distributors,"Herndon, Virginia"
PLXS,Plexus Corp.,Information Technology,Electronic Manufacturing Services,"Neenah, Wisconsin"
PMT,PennyMac Mortgage Investment Trust,Real Estate,Mortgage REITs,"Westlake Village, California"
POWL,"Powell Industries, Inc.",Industrials,Electrical Components & Equipment,"Houston, Texas"
PPBI,"Pacific Premier Bancorp, Inc.",Financials,Regional Banks,"Irvine, California"
PRA,ProAssurance Corporation,Financials,Property & Casualty Insurance,"Birmingham, Alabama"
PRAA,"PRA Group, Inc.",Financials,Consumer Finance,"Norfolk, Virginia"
PRDO,Perdoceo Education Corp.,Consumer Discretionary,Education Services,"Schaumburg, Illinois"
PRFT,"Perficient, Inc.",Information Technology,IT Consulting & Other Services,"St. Louis, Missouri"
PRG,"PROG Holdings, Inc.",Financials,Consumer Finance,"Draper, Utah"
PRGS,Progress Software Corporation,Information Technology,Systems Software,"Burlington, Massachusetts"
PRK,Park National Corp.,Financials,Diversified Banks,"Newark, Ohio"
PRLB,Protolabs,Industrials,Industrial Machinery,"Maple Plain, Minnesota"
PRVA,"Privia Health Group, Inc.",Health Care,Health Care Services,"Arlington County, Virginia"
PSMT,PriceSmart,Consumer Staples,Hypermarkets & Super Centers,"San Diego, California"
PTEN,"Patterson-UTI Energy, Inc.",Energy,Oil & Gas Drilling,"Houston, Texas"
PUMP,ProPetro Holding Corp.,Energy,Oil & Gas Equipment & Services,"Midland, Texas"
PZZA,"Papa John's Pizza",Consumer Discretionary,Restaurants,"Jeffersontown, Kentucky"
QNST,"QuinStreet, Inc.",Communication Services,Interactive Media & Services,"Foster City, California"
RAMP,"LiveRamp Holdings, Inc.",Information Technology,Application Software,"San Francisco, California"
RC,Ready Capital Corp,Financials,Mortgage REITs,"New York City, New York"
RCUS,"Arcus Biosciences, Inc.",Health Care,Biotechnology,"Hayward, California"
RDN,"Radian Group, Inc.",Financials,Property & Casualty Insurance,"Philadelphia, Pennsylvania"
RDNT,"RadNet, Inc.",Health Care,Health Care Services,"Los Angeles, California"
RES,"RPC, Inc.",Energy,Oil & Gas Equipment & Services,"Atlanta, Georgia"
REX,REX American Resources Corporation,Energy,Oil & Gas Refining & Marketing,"Dayton, Ohio"
REZI,"Resideo Technologies, Inc.",Industrials,Trading Companies & Distributors,"Austin, Texas"
RGNX,REGENXBIO Inc.,Health Care,Biotechnology,"Rockville, Maryland"
RGP,"Resources Connection, Inc.",Industrials,Research & Consulting Services,"Irvine, California"
RGR,"Sturm, Ruger & Company, Inc.",Consumer Discretionary,Leisure Products,"Southport, Connecticut"
RILY,B. Riley Financial,Financials,Asset Management & Custody Banks,"Los Angeles, California"
RNST,Renasant Corp.,Financials,Regional Banks,"Tupelo, Mississippi"
ROCK,"Gibraltar Industries, Inc.",Industrials,Building Products,"Buffalo, New York"
ROG,Rogers Corporation,Information Technology,Electronic Components,"Chandler, Arizona"
ROIC,Retail Opportunity Investments Corp.,Real Estate,Retail REITs,"San Diego, California"
RUSHA,Rush Enterprises,Industrials,Construction Machinery & Heavy Transportation Equipment,"New Braunfels, Texas"
RWT,"Redwood Trust, Inc.",Real Estate,Mortgage REITs,"Mill Valley, California"
RXO,"RXO, Inc.",Industrials,Cargo Ground Transportation,"Charlotte, North Carolina"
SAFE,"Safehold, Inc.",Real Estate,Other Specialized REITs,"New York City, New York"
SABR,Sabre,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Southlake, Texas"
SAFT,"Safety Insurance Group, Inc.",Financials,Property & Casualty Insurance,"Boston, Massachusetts"
SAH,"Sonic Automotive, Inc.",Consumer Discretionary,Automotive Retail,"Charlotte, North Carolina"
SANM,Sanmina Corporation,Information Technology,Electronic Manufacturing Services,"San Jose, California"
SATS,EchoStar Corporation,Communication Services,Wireless Telecommunication Services,"Englewood, Colorado"
SBCF,Seacoast Banking Corporation of Florida,Financials,Regional Banks,"Stuart, Florida"
SBH,"Sally Beauty Holdings, Inc.",Consumer Discretionary,Specialty Stores,"Denton, Texas"
SBSI,"Southside Bancshares, Inc.",Financials,Regional Banks,"Tyler, Texas"
SCHL,Scholastic Corporation,Consumer Discretionary,Publishing,"New York City, New York"
SCL,Stepan Company,Materials,Specialty Chemicals,"Northfield, Illinois"
SCSC,"ScanSource, Inc.",Information Technology,Technology Distributors,"Greenville, South Carolina"
SCVL,"Shoe Carnival, Inc.",Consumer Discretionary,Apparel Retail,"Evansville, Indiana"
SDGR,"Schrödinger, Inc.",Health Care,Health Care Services,"New York City, New York"
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment,"Herzliya, Israel"
SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials,"Charlotte, North Carolina"
SEM,"Select Medical Holdings, Corp.",Health Care,Health Care Facilities,"Mechanicsburg, Pennsylvania"
