Institution Name,EnrollmentFullTime,State,Ranking List,Rank,Undergraduate Admit Rate,Google Avg Monthly Search Volume,Student Life Grade,15-Year NPV,30-Year NPV,Instructional Wages per Full-Time Student,Average Undergraduate Tuition and Fees,Endowment per Full Time Student,Percentage of International Students,Category
Cornell College,1019,IA,USN National College Ranking,68,0.61,22200,B,216000,635000,7003,42299,76273,0.06,Challenged
Cornell University,23499,NY,USN National University Ranking,17,0.11,201000,A+,465000,1216000,16225,55188,292416,0.1,Thrive
Covenant College,1008,GA,USN National College Ranking,148,0.97,12100,B,213000,614000,6257,34330,41714,0.04,Challenged
Creighton University,7119,NE,USN National University Ranking,104,0.71,49500,A-,265000,792000,10536,39916,79901,0.02,Thrive
CUNY City College,10988,NY,USN National University Ranking,228,0.48,2400,C+,342000,793000,10179,10975,28135,0.02,Thrive
Daemen College,2062,NY,USN National University Ranking,263,0.54,14800,C+,265000,682000,6907,28580,7817,0.02,Challenged
Dallas Baptist University,3077,TX,USN National University Ranking,281,0.88,18100,B+,227000,648000,7497,28870,16713,0,Struggle
Dartmouth College,6436,NH,USN National University Ranking,12,0.09,60500,A,444000,1179000,14866,55453,853667,0.11,Thrive
Davidson College,1843,NC,USN National College Ranking,17,0.19,49500,A,356000,929000,13095,51447,441961,0.07,Thrive
Denison University,2365,OH,USN National College Ranking,43,0.34,33100,B+,266000,742000,10537,51960,359584,0.16,Challenged
DePaul University,18185,IL,USN National University Ranking,125,0.68,74000,A,270000,789000,7943,39975,32632,0.09,Survive
DePauw University,2139,IN,USN National College Ranking,46,0.63,22200,B+,313000,838000,10776,49704,341678,0.14,Challenged
Dickinson College,2361,PA,USN National College Ranking,46,0.49,33100,C,310000,869000,10606,54661,185314,0.14,Challenged
Drake University,3760,IA,USN National University Ranking,130,0.68,40500,B+,322000,890000,8451,41396,58376,0.04,Struggle
Drew University,1882,NJ,USN National College Ranking,117,0.69,22200,C+,266000,779000,9065,39800,48689,0.07,Challenged
Drexel University,18312,PA,USN National University Ranking,97,0.77,110000,B+,356000,1026000,10988,53244,42582,0.09,Challenged
Duke University,15700,NC,USN National University Ranking,10,0.09,201000,A+,505000,1327000,39871,55695,542984,0.08,Thrive
Duquesne University,8867,PA,USN National University Ranking,132,0.72,49500,A-,322000,891000,6880,38178,41770,0.05,Survive
Earlham College,1074,IN,USN National College Ranking,80,0.65,14800,C+,179000,519000,10356,46450,399629,0.21,Challenged
East Carolina University,22087,NC,USN National University Ranking,228,0.82,60500,A,250000,644000,9324,15327,9090,0.01,Survive
Eckerd College,1940,FL,USN National College Ranking,140,0.68,33100,A-,170000,581000,7437,44540,30058,0.03,Challenged
Edgewood College,1417,WI,USN National University Ranking,202,0.73,9900,B,233000,654000,7897,29500,40230,0.02,Struggle
Elizabethtown College,1641,PA,USN National College Ranking,105,0.76,14800,B-,271000,771000,9703,46940,49184,0.02,Struggle
Elon University,6703,NC,USN National University Ranking,84,0.72,90500,B,245000,751000,8508,35319,38188,0.07,Challenged
Emory & Henry College,1219,VA,USN National College Ranking,148,0.7,1300,C,220000,616000,6743,35100,73517,0,Struggle
Emory University,12902,GA,USN National University Ranking,21,0.19,135000,A,396000,1038000,40952,51306,618933,0.18,Survive
Florida Atlantic University,18562,FL,USN National University Ranking,281,0.59,60500,A-,294000,715000,6247,11054,16124,0.04,Survive
Florida Institute of Technology,4519,FL,USN National University Ranking,202,0.65,27100,B+,276000,827000,8605,41850,17663,0.1,Challenged
Florida International University,34686,FL,USN National University Ranking,218,0.59,49500,A,308000,759000,6296,12750,7246,0.12,Survive
Florida State University,34735,FL,USN National University Ranking,57,0.37,90500,A+,294000,746000,7439,12221,19616,0.06,Survive
Fordham University,13736,NY,USN National University Ranking,74,0.46,135000,B,298000,875000,9312,52687,53085,0.09,Challenged
Franklin and Marshall College,2290,PA,USN National College Ranking,38,0.35,12100,B-,325000,898000,12603,56550,168817,0.2,Challenged
